Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Early Adulthood + Female,1505,0.9030,0.7840,0.1189,0.1389,0.4211,0.0448,0.5789,0.9552
Early Adulthood + Male,3184,0.8024,0.7519,0.2714,0.2773,0.3669,0.1326,0.6331,0.8674
Elderly + Male,609,0.7898,0.7573,0.3169,0.3169,0.3316,0.1538,0.6684,0.8462
Midlife + Female,1188,0.8822,0.7861,0.1540,0.1759,0.3971,0.0582,0.6029,0.9418
Youth + Female,1083,0.9917,0.6979,0.0037,0.0102,0.7273,0.0009,0.2727,0.9991
Youth + Male,1367,0.9802,0.6488,0.0059,0.0227,0.8065,0.0015,0.1935,0.9985
Elderly + Female,281,0.9359,0.7781,0.0712,0.0854,0.4583,0.0272,0.5417,0.9728
Midlife + Male,2994,0.7295,0.7275,0.4609,0.4549,0.2907,0.2537,0.7093,0.7463
