Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9702,0.7657,0.0216,0.0440,0.5922,0.0039,0.4078,0.9961
Married-civ-spouse,5567,0.7133,0.7113,0.4672,0.4489,0.2989,0.2767,0.7011,0.7233
Divorced,1682,0.9257,0.7269,0.0511,0.0957,0.6211,0.0164,0.3789,0.9836
Separated,373,0.9464,0.7683,0.0456,0.0777,0.5517,0.0116,0.4483,0.9884
Married-spouse-absent,152,0.8684,0.7237,0.1579,0.1184,0.3889,0.0970,0.6111,0.9030
Widowed,359,0.9331,0.6965,0.0306,0.0864,0.7097,0.0061,0.2903,0.9939
Married-AF-spouse,13,0.9231,0.9150,0.3077,0.3846,0.2000,0.0000,0.8000,1.0000
