Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9705,0.7580,0.0189,0.0440,0.6201,0.0023,0.3799,0.9977
Married-civ-spouse,5567,0.7358,0.7296,0.3999,0.4489,0.3489,0.1952,0.6511,0.8048
Divorced,1682,0.9287,0.7244,0.0434,0.0957,0.6460,0.0105,0.3540,0.9895
Separated,373,0.9464,0.7585,0.0402,0.0777,0.5862,0.0087,0.4138,0.9913
Married-spouse-absent,152,0.9276,0.7603,0.0461,0.1184,0.6111,0.0000,0.3889,1.0000
Widowed,359,0.9359,0.7025,0.0279,0.0864,0.7097,0.0030,0.2903,0.9970
Married-AF-spouse,13,0.6154,0.3810,0.0000,0.3846,1.0000,0.0000,0.0000,1.0000
