Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Early Adulthood + Female,1505,0.8950,0.7543,0.1043,0.1389,0.5024,0.0409,0.4976,0.9591
Early Adulthood + Male,3184,0.8043,0.7414,0.2293,0.2773,0.4394,0.1021,0.5606,0.8979
Elderly + Male,609,0.7997,0.7563,0.2611,0.3169,0.4041,0.1058,0.5959,0.8942
Midlife + Female,1188,0.8897,0.7821,0.1212,0.1759,0.4689,0.0337,0.5311,0.9663
Youth + Female,1083,0.9926,0.7481,0.0046,0.0102,0.6364,0.0009,0.3636,0.9991
Youth + Male,1367,0.9773,0.6779,0.0132,0.0227,0.7097,0.0067,0.2903,0.9933
Elderly + Female,281,0.9537,0.8209,0.0534,0.0854,0.4583,0.0078,0.5417,0.9922
Midlife + Male,2994,0.7411,0.7363,0.4092,0.4549,0.3348,0.1955,0.6652,0.8045
