Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Never-married,4065,0.9668,0.7423,0.0226,0.0440,0.6201,0.0062,0.3799,0.9938
Married-civ-spouse,5567,0.7230,0.7168,0.4029,0.4489,0.3597,0.2096,0.6403,0.7904
Divorced,1682,0.9257,0.7249,0.0499,0.0957,0.6273,0.0158,0.3727,0.9842
Separated,373,0.9437,0.7517,0.0429,0.0777,0.5862,0.0116,0.4138,0.9884
Married-spouse-absent,152,0.9276,0.7603,0.0461,0.1184,0.6111,0.0000,0.3889,1.0000
Widowed,359,0.9359,0.7025,0.0279,0.0864,0.7097,0.0030,0.2903,0.9970
Married-AF-spouse,13,0.6923,0.5667,0.0769,0.3846,0.8000,0.0000,0.2000,1.0000
