Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Early Adulthood + Female,1505,0.9090,0.7864,0.1037,0.1389,0.4545,0.0324,0.5455,0.9676
Early Adulthood + Male,3184,0.8144,0.7505,0.2167,0.2773,0.4439,0.0865,0.5561,0.9135
Elderly + Male,609,0.8013,0.7553,0.2496,0.3169,0.4197,0.0962,0.5803,0.9038
Midlife + Female,1188,0.8956,0.7970,0.1271,0.1759,0.4354,0.0337,0.5646,0.9663
Youth + Female,1083,0.9926,0.7481,0.0046,0.0102,0.6364,0.0009,0.3636,0.9991
Youth + Male,1367,0.9810,0.6531,0.0051,0.0227,0.8065,0.0007,0.1935,0.9993
Elderly + Female,281,0.9502,0.8116,0.0569,0.0854,0.4583,0.0117,0.5417,0.9883
Midlife + Male,2994,0.7525,0.7486,0.4205,0.4549,0.3098,0.1955,0.6902,0.8045
